STRUCTURE_NUMBER_008,COUNTY_CODE_003,FACILITY_CARRIED_007,FEATURES_DESC_006A,LOCATION_009,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,YEAR_BUILT_027,ADT_029,MODEL_DETERIORATION_RISK_SCORE,RISK_RANK,RISK_PERCENTILE,RISK_GROUP
000000000017385,55,I-81 NB; SR 0081,US 30; SR 0030,U.S.30 CHAMBERSBURG,6.0,6.0,5.0,1963.0,24134.0,0.367168,13868,33.9,Low
000000000039108,101,16th Street,Penn Ctr Undgrd St Sys,N of Market Street 28F12,,7.0,6.0,1957.0,17600.0,0.367149,13869,33.9,Low
000000000011043,31,SR2009,WILDCAT RUN,LAWSONHAM NO.2,7.0,7.0,7.0,1938.0,465.0,0.367144,13870,33.9,Low
000000000016781,51,SR 1042,JACOBS CREEK,UPPER TYRONE TOWNSHIP,6.0,6.0,6.0,1971.0,2619.0,0.367143,13871,33.9,Low
000000000007753,17,BERM LANE,DELAWARE CANAL,SE OF UPPER BLACK EDDY,5.0,5.0,5.0,1962.0,30.0,0.367139,13872,33.9,Low
000000000036076,129,SR 0119,SW PA R/R & PVT RD,EAST HUNTINGDON TOWNSHIP,6.0,6.0,6.0,1977.0,15494.0,0.367118,13874,33.9,Low
000000000036077,129,SR 0119,SW PA R/R & PVT RD,EAST HUNTINGDON TOWNSHIP,6.0,6.0,6.0,1977.0,15041.0,0.367118,13873,33.9,Low
000000000003791,7,GEORGETOWN RD.,SR 0051,1025'N.W. OF SR 4013,4.0,6.0,5.0,1952.0,436.0,0.367092,13875,33.9,Low
000000000036543,129,SR 3011,Wheeling & Lake Erie R/R,ROSTRAVER TOWNSHIP,5.0,6.0,6.0,1958.0,2677.0,0.367063,13876,33.9,Low
000000000056745,133,TAYLOR HILL RD,S BR CODORUS CREEK,50' SOUTH OF SR 616,6.0,6.0,7.0,1996.0,177.0,0.367051,13877,33.9,Low
000000000053368,3,Dambach Ave,Breakneck Creek,200' N Int w/ Valencia Rd,7.0,7.0,7.0,2013.0,100.0,0.367038,13878,33.9,Low
000000000053638,35,SR 64- PA 64,FISHING CREEK,LAMAR,7.0,8.0,8.0,2016.0,6048.0,0.367018,13879,33.9,Low
000000000042060,125,MAIN STREET,RACCOON CREEK,300' N OF SR18 INTERSECT,7.0,7.0,7.0,2001.0,800.0,0.366983,13880,33.9,Low
000000000016462,49,T-665 EVANS ROAD,MILL CREEK,AT W. GORE RD INTERSECT,5.0,5.0,5.0,1968.0,29.0,0.366983,13881,33.8,Low
000000000031718,111,SR 3029,MIDDLE CREEK,KIMMEL,4.0,4.0,5.0,1937.0,1873.0,0.366953,13882,33.8,Low
000000000030390,105,ON TSR 308,ALLEGHENY RIVER,1 MI E MINA,7.0,7.0,7.0,1989.0,234.0,0.366953,13883,33.8,Low
000000000041465,11,WOODLAND ROAD,KERSHNER CREEK,SOUTH OF HAMBURG,7.0,7.0,7.0,2001.0,860.0,0.366939,13884,33.8,Low
000000000035042,125,SR 3009,TENMILE CREEK,SOUTH FRANKLIN TOWNSHIP,6.0,6.0,4.0,1931.0,242.0,0.366913,13885,33.8,Low
000000000002780,3,RAMP J,"MAINT. YARD, GRAND AVE",Neville Island Bridge,6.0,5.0,6.0,1973.0,7371.0,0.366909,13886,33.8,Low
000000000031986,113,SR 154,OVER ELK CR.,0.25 MI W OF LINCOLN FALL,8.0,6.0,6.0,1932.0,386.0,0.366896,13887,33.8,Low
000000000041974,125,"PA TPK TOLL 43, SB",SR1008,0.5MI.N OF FINELYVILLE RD,7.0,6.0,7.0,2000.0,5533.0,0.366872,13888,33.8,Low
000000000004967,11,SR 1010 (LR06118),NORFOLK SOUTHERN RR,FLEETWOOD-LYONS ROAD,7.0,5.0,6.0,1962.0,10449.0,0.366832,13889,33.8,Low
000000000001896,3,CORAOPOLIS HTS RD,SR 3160 - BUSINESS 376,1/4 MI E OF AIRSIDE BUS P,7.0,7.0,7.0,1991.0,9202.0,0.36683,13890,33.8,Low
000000000046096,59,SR 0018,Garners Run,2.1 mi N of SR 0021,8.0,8.0,8.0,2010.0,1605.0,0.366824,13891,33.8,Low
000000000002790,3,RAMP A,RAMP B-3,RP.A OVER RP.B3-GLENFIELD,6.0,6.0,6.0,1975.0,5630.0,0.36678,13892,33.8,Low
000000000019588,65,SR0080 EB,T-450 MOORE ROAD,MOORE ROAD EB,6.0,6.0,6.0,1964.0,10252.0,0.366755,13893,33.8,Low
000000000028123,91,COVERED BRIDGE RD.,Crow Creek,.3 Mi N of PA-23  3366-J4,5.0,5.0,5.0,1965.0,200.0,0.36675,13894,33.8,Low
000000000002289,3,ENLOW ROAD,"MONTOUR RUN,NORTH BRANCH",MX01 0.2 Mi N of McClaren,7.0,7.0,6.0,1934.0,520.0,0.366742,13895,33.8,Low
000000000035067,125,SR 3022,TENMILE CREEK,MORRIS TOWNSHIP,6.0,6.0,6.0,1960.0,186.0,0.366629,13896,33.8,Low
000000000004839,11,US422BUS (LR 149),"LR 06150,NORF/SOUTH",INTERSECTION PENN AVE,7.0,6.0,6.0,1977.0,27250.0,0.366606,13897,33.8,Low
000000000013907,41,SR 3001; BRITTON R,BURD RUN,SHIPPENSBURG,6.0,6.0,6.0,1986.0,806.0,0.366594,13898,33.8,Low
000000000021750,71,SR 4033,LITTLE CHIQUES CREEK,3 MI.N. OF MT. JOY,5.0,5.0,4.0,1947.0,1918.0,0.366586,13899,33.8,Low
000000000011958,33,4TH STREET,REISINGER RUN,500FT SOUTH OF MAPLE AVE,4.0,4.0,5.0,1955.0,200.0,0.366583,13900,33.8,Low
000000000038992,101,PASSYUNK AVENUE,26TH STREET,NEAR 24TH STREET  3699K03,6.0,6.0,5.0,1960.0,44695.0,0.366538,13901,33.8,Low
000000000017452,55,PA-995,Back Creek,1. mi. N. of Williamson,6.0,5.0,5.0,1985.0,1201.0,0.366519,13902,33.7,Low
000000000027991,91,Rices Mill Road,Tacony Creek,.7 Mi N PA-73     3370-G5,5.0,4.0,4.0,1914.0,6455.0,0.366488,13903,33.7,Low
